article_title,content,category,content_markdown
Как работает умный датчик открытия дверей и окон,"<p>Датчик оповещает о состоянии дверей и окон – открыто или закрыто</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/323_66bb5436d8d2953db85474e5.png""></figure></section><section class=""incut""><p><strong>Файлы для загрузки</strong></p><p><a href=""https://s3.cms.mts.ru/cms-files/Manual_open_sensor_65x75mm_66bb5435d8d2953db85474e3.pdf"">Руководство пользователя</a> (pdf, 128 Kb)</p></section>",3,"Датчик оповещает о состоянии дверей и окон – открыто или закрыто



**Файлы для загрузки**

Руководство пользователя (pdf, 128 Kb)

"
Как установить умный датчик открытия дверей и окон,"<p>1. Для максимальной эффективности передачи сигналов избегайте металлических поверхностей вблизи устройств</p><p>2. Снимите защитные плёнки с датчика и магнита</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/кц_66bcb1cde7aa4918542218f0.png""></figure></section><p>3. Ориентируясь на линии-метки, приклейте датчик на неподвижную поверхность (оконная рама, дверной косяк), а магнит – на подвижную (створка окна, дверное полотно). Также убедитесь, что установочный зазор составляет не более 22 мм в закрытом положении двери или окна</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/ккц_66bcb1cde7aa4918542218f2.png""></figure></section>",3,"1\. Для максимальной эффективности передачи сигналов избегайте металлических
поверхностей вблизи устройств

2\. Снимите защитные плёнки с датчика и магнита



3\. Ориентируясь на линии-метки, приклейте датчик на неподвижную поверхность
(оконная рама, дверной косяк), а магнит – на подвижную (створка окна, дверное
полотно). Также убедитесь, что установочный зазор составляет не более 22 мм в
закрытом положении двери или окна



"
Как добавить умный датчик открытия дверей и окон,"<p>Перед установкой устройства убедитесь, что у вас загружено приложение МТС Умный дом и подключён Домашний центр МТС.</p><p>1. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства МТС</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/520;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T165818908_673afeef72fda241fbd658d0.png"" width=""500"" height=""520""></figure></section><p>2. Из списка выберите Датчик открытия</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/400;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T104042704_673afeee72fda241fbd658cc.png"" width=""500"" height=""400""></figure></section><p>3. Выньте защитный язычок из датчика</p><p>4. Нажмите и удерживайте кнопку на корпусе устройства. Когда индикатор замигает, отпустите кнопку и в приложении нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:375/375;"" src=""https://s3.cms.mts.ru/cms-files/Group_2085660324_673afef072fda241fbd658d2.png"" width=""375"" height=""375""></figure></section><p>5. Дождитесь добавление датчика и снова нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/450;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_18T114508454_673afeef72fda241fbd658ce.png"" width=""500"" height=""450""></figure></section><p>6. Выберите комнату и назовите устройство</p>",3,"Перед установкой устройства убедитесь, что у вас загружено приложение МТС
Умный дом и подключён Домашний центр МТС.

1\. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства
МТС



2\. Из списка выберите Датчик открытия



3\. Выньте защитный язычок из датчика

4\. Нажмите и удерживайте кнопку на корпусе устройства. Когда индикатор
замигает, отпустите кнопку и в приложении нажмите Далее



5\. Дождитесь добавление датчика и снова нажмите Далее



6\. Выберите комнату и назовите устройство

"
Как работает умная лампа,"<p>Регулирует яркость света и цветовую температуру через приложение МТС Умный дом</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/Group_2085660330_66ed2108ef27d358e23c6257.png""></figure></section><section class=""incut""><p><strong>Файлы для загрузки</strong></p><p><a href=""https://s3.cms.mts.ru/cms-files/Manual_smart_lamp_55x90mm_66ed2107ef27d358e23c6255.pdf"">Руководство пользователя</a> (pdf, 97 Kb)</p></section>",3,"Регулирует яркость света и цветовую температуру через приложение МТС Умный дом



**Файлы для загрузки**

Руководство пользователя (pdf, 97 Kb)

"
Как установить умную лампу,"<p>1. Загрузите приложение МТС Умный дом и подключите Домашний центр МТС</p><p>2. Отключите электричество</p><p>3. Вкрутите лампочку в патрон E27</p><p>4. Включите электричество и проверьте работу устройства</p><h3 class=""ck-heading_heading3_medium"">Не рекомендуем устанавливать лампу:</h3><ul><li>во влажных местах и на улице</li><li>в узкий и герметичный плафон</li><li>рядом с источником тепла или открытым огнём</li></ul><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>Будьте осторожны</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><ul><li>устанавливайте лампу по инструкции в закрытых сухих помещениях</li><li>не ремонтируйте самостоятельно</li><li>не допускайте попадание любых жидкостей на устройство</li><li>не позволяйте детям играть с лампочкой</li></ul></div></div></div>",3,"1\. Загрузите приложение МТС Умный дом и подключите Домашний центр МТС

2\. Отключите электричество

3\. Вкрутите лампочку в патрон E27

4\. Включите электричество и проверьте работу устройства

### Не рекомендуем устанавливать лампу:

  * во влажных местах и на улице
  * в узкий и герметичный плафон
  * рядом с источником тепла или открытым огнём

**Будьте осторожны**

  * устанавливайте лампу по инструкции в закрытых сухих помещениях
  * не ремонтируйте самостоятельно
  * не допускайте попадание любых жидкостей на устройство
  * не позволяйте детям играть с лампочкой

"
Как добавить умную лампу,"<p>1. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства МТС</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/520;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T165818908_673b007654c9122bffde3acd.png"" width=""500"" height=""520""></figure></section><p>2. Выберите Лампа</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/400;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T105530474_673b007654c9122bffde3acb.png"" width=""500"" height=""400""></figure></section><p>3. Вкрутите лампочку в цоколь</p><p>4. Пять раз выключите и включите свет с помощью выключателя. Когда лампочка дважды мигнёт,&nbsp;в приложении нажмите Далее</p><p>5. Дождитесь добавление лампы и снова нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/450;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_18T115243342_673b007554c9122bffde3ac9.png"" width=""500"" height=""450""></figure></section><p>6. Выберите комнату и назовите устройство</p>",3,"1\. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства
МТС



2\. Выберите Лампа



3\. Вкрутите лампочку в цоколь

4\. Пять раз выключите и включите свет с помощью выключателя. Когда лампочка
дважды мигнёт, в приложении нажмите Далее

5\. Дождитесь добавление лампы и снова нажмите Далее



6\. Выберите комнату и назовите устройство

"
Как заменить батарею в умном датчике протечки,"<p>1. Вставьте что-нибудь плоское в паз крышки батарейного отсека, поверните против часовой стрелки и откройте крышку</p><p>2. Вставьте новую батарею типа CR2032</p><p>3. Закройте и затяните крышку батарейного отсека до одной линии с контактами</p>",3,"1\. Вставьте что-нибудь плоское в паз крышки батарейного отсека, поверните
против часовой стрелки и откройте крышку

2\. Вставьте новую батарею типа CR2032

3\. Закройте и затяните крышку батарейного отсека до одной линии с контактами

"
Как работает умный датчик протечки,"<p>Датчик, обнаружив протечку воды, отправит уведомление в приложение</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/345пк_66bb137bc533440b0973e2f0.png""></figure></section><section class=""incut""><p><strong>Файлы для загрузки</strong></p><p><a href=""https://s3.cms.mts.ru/cms-files/Manual_water_sensor_65x75mm_66bb137bc533440b0973e2ee.pdf"">Руководство пользователя</a> (pdf, 102 Kb)</p></section>",3,"Датчик, обнаружив протечку воды, отправит уведомление в приложение



**Файлы для загрузки**

Руководство пользователя (pdf, 102 Kb)

"
Как установить умный датчик протечки,"<p>Перед установкой устройства убедитесь, что у вас загружено приложение МТС Умный дом и подключён Домашний центр МТС.</p><p>Для максимальной эффективности передачи сигналов избегайте металлических поверхностей вблизи устройств.</p><p>1. Разместите датчик на поверхности, где необходимо отслеживание протечки воды</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/image_66bcec2ae7aa491854221905.png""></figure></section><p>2. При помощи шестигранной отвертки подключите два провода к датчику для выносной установки.</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/image_66bcec2ae7aa491854221903.png""></figure></section>",3,"Перед установкой устройства убедитесь, что у вас загружено приложение МТС
Умный дом и подключён Домашний центр МТС.

Для максимальной эффективности передачи сигналов избегайте металлических
поверхностей вблизи устройств.

1\. Разместите датчик на поверхности, где необходимо отслеживание протечки
воды



2\. При помощи шестигранной отвертки подключите два провода к датчику для
выносной установки.



"
Как добавить умный датчик протечки,"<p>1. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства МТС</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/520;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T165818908_673b148054c9122bffde3bb6.png"" width=""500"" height=""520""></figure></section><p>2. Выберите Датчик протечки</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/400;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T132811627_673b148054c9122bffde3bb4.png"" width=""500"" height=""400""></figure></section><p>3. Нажмите и удерживайте кнопку на корпусе устройства. Когда индикатор замигает, отпустите кнопку и в приложении нажмите Далее</p><p>4. Дождитесь добавление датчика и снова нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/450;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_18T131757272_673b148054c9122bffde3bb2.png"" width=""500"" height=""450""></figure></section><p>5. Выберите комнату и назовите устройство</p>",3,"1\. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства
МТС



2\. Выберите Датчик протечки



3\. Нажмите и удерживайте кнопку на корпусе устройства. Когда индикатор
замигает, отпустите кнопку и в приложении нажмите Далее

4\. Дождитесь добавление датчика и снова нажмите Далее



5\. Выберите комнату и назовите устройство

"
Как заменить батарею у умного датчика температуры и влажности воздуха,"<p>1. Вставьте что-нибудь плоское в паз крышки батарейного отсека датчика, поверните против часовой стрелки и откройте крышку</p><p>2. Вставьте новую батарею типа CR2032</p>",3,"1\. Вставьте что-нибудь плоское в паз крышки батарейного отсека датчика,
поверните против часовой стрелки и откройте крышку

2\. Вставьте новую батарею типа CR2032

"
Как установить умный датчик температуры и влажности,"<p>Для максимальной эффективности передачи сигналов избегайте металлических поверхностей вблизи устройств.</p><p>Датчик можно положить горизонтально или приклеить вертикально.</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/image_8297_66bce64ae7aa491854221901.png""></figure></section><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/image_8298_66bce649e7aa4918542218ff.png""></figure></section>",3,"Для максимальной эффективности передачи сигналов избегайте металлических
поверхностей вблизи устройств.

Датчик можно положить горизонтально или приклеить вертикально.



"
Как работает умный датчик температуры и влажности воздуха,"<p>Датчик измеряет температуру, влажность и атмосферное давление в помещении и передаёт эти данные в приложение</p><section class=""incut""><figure class=""image""><img src=""https://s3.cms.mts.ru/cms-files/5643_66bb38c0c533440b0973e318.png""></figure></section><section class=""incut""><p><strong>Файлы для загрузки</strong></p><p><a href=""https://s3.cms.mts.ru/cms-files/Manual_temp_sensor_65x75mm_66bb38c0c533440b0973e316.pdf"">Руководство пользователя</a> (pdf, 112 Kb)</p></section><p>&nbsp;</p>",3,"Датчик измеряет температуру, влажность и атмосферное давление в помещении и
передаёт эти данные в приложение



**Файлы для загрузки**

Руководство пользователя (pdf, 112 Kb)



"
Как добавить умный датчик температуры и влажности воздуха,"<p>Перед установкой устройства убедитесь, что у вас загружено приложение МТС Умный дом и подключён Домашний центр МТС.</p><p>1. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства МТС</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/520;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T165818908_673b075972fda241fbd65994.png"" width=""500"" height=""520""></figure></section><p>2. Выберите Датчик температуры и влажности</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/400;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T115333005_673b075a72fda241fbd65996.png"" width=""500"" height=""400""></figure></section><p>3. Выньте защитный язычок из датчика</p><p>4. Нажмите и удерживайте кнопку на корпусе. Когда индикатор мигнёт три раза голубым, отпустите кнопку и в приложении нажмите Далее</p><p>5. Дождитесь добавление датчика и снова нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/450;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_18T122153900_673b075b72fda241fbd65998.png"" width=""500"" height=""450""></figure></section><p>6. Выберите комнату и назовите устройство</p>",3,"Перед установкой устройства убедитесь, что у вас загружено приложение МТС
Умный дом и подключён Домашний центр МТС.

1\. Нажмите плюс в правом верхнем углу на главной странице, далее – Устройства
МТС



2\. Выберите Датчик температуры и влажности



3\. Выньте защитный язычок из датчика

4\. Нажмите и удерживайте кнопку на корпусе. Когда индикатор мигнёт три раза
голубым, отпустите кнопку и в приложении нажмите Далее

5\. Дождитесь добавление датчика и снова нажмите Далее



6\. Выберите комнату и назовите устройство

"
Как устранить неполадки в работе умных устройств,"<p>Если у вас есть вопросы или возникли технические неисправности в работе устройства, позвоните нам:</p><ul><li><a href=""tel:88005559999"" target=""_blank"" rel=""noopener noreferrer"">8 800 555-99-99</a></li><li><a href=""tel:88002347711"" target=""_blank"" rel=""noopener noreferrer"">8 800 234-77-11</a></li></ul>",3,"Если у вас есть вопросы или возникли технические неисправности в работе
устройства, позвоните нам:

  * 8 800 555-99-99
  * 8 800 234-77-11

"
Гарантия изготовителя на умные устройства,"<ul><li>Изготовитель гарантирует работоспособность устройства при соблюдении правил установки, эксплуатации, хранения и транспортировки</li><li>Гарантийный срок — 12 месяцев со дня продажи устройства конечному пользователю</li><li>Срок службы — 2 года с даты производства</li><li>Дата производства указана на стикере упаковки</li></ul>",3,"  * Изготовитель гарантирует работоспособность устройства при соблюдении правил установки, эксплуатации, хранения и транспортировки
  * Гарантийный срок — 12 месяцев со дня продажи устройства конечному пользователю
  * Срок службы — 2 года с даты производства
  * Дата производства указана на стикере упаковки

"
Условия предоставления гарантии на умные устройства,"<p>1. Гарантийные обязательства действуют в рамках законодательства о защите прав потребителя и регулируются действующим законодательством Российской Федерации</p><p>2. Срок гарантии составляет 12 месяцев со дня продажи устройства конечному пользователю</p><p>3. Данная гарантия распространяется только на дефекты и поломки, произошедшие по вине изготовителя</p><p>4. Право на гарантийное обслуживание утрачивается в случае, если неисправность возникла из-за нарушений клиентом правил пользования устройством (например, в результате механических повреждений или попадания влаги)</p><p>5. В случае обнаружения недостатков в приобретенном товаре потребитель вправе предъявить требования, перечень и порядок предъявления которых установлен Законом РФ «О защите прав потребителей»</p><p>6. Перед началом использования устройства изучите прилагаемую инструкцию по эксплуатации и строго следуйте ей</p><p>7. По вопросам гарантийного обслуживания потребитель может обратиться по месту приобретения устройства или <a href=""https://mts.ru/personal/podderzhka/zoni-obsluzhivaniya/offices/"" target=""_blank"" rel=""noopener noreferrer"">в салонах экосистемы МТС</a></p>",3,"1\. Гарантийные обязательства действуют в рамках законодательства о защите
прав потребителя и регулируются действующим законодательством Российской
Федерации

2\. Срок гарантии составляет 12 месяцев со дня продажи устройства конечному
пользователю

3\. Данная гарантия распространяется только на дефекты и поломки, произошедшие
по вине изготовителя

4\. Право на гарантийное обслуживание утрачивается в случае, если
неисправность возникла из-за нарушений клиентом правил пользования
устройством (например, в результате механических повреждений или попадания
влаги)

5\. В случае обнаружения недостатков в приобретенном товаре потребитель вправе
предъявить требования, перечень и порядок предъявления которых установлен
Законом РФ «О защите прав потребителей»

6\. Перед началом использования устройства изучите прилагаемую инструкцию по
эксплуатации и строго следуйте ей

7\. По вопросам гарантийного обслуживания потребитель может обратиться по
месту приобретения устройства или в салонах экосистемы
МТС

"
Как установить приложение МТС Умный дом,"<p>Войдите в магазин приложений своего телефона и в поиске&nbsp;введите МТС Умный дом.</p><p>Или перейдите по ссылкам:</p><ul><li><a href=""https://play.google.com/store/apps/details?id=ru.mts.smarthome"" target=""_blank"" rel=""noopener noreferrer"">Google Play</a></li><li><a href=""https://apps.apple.com/us/app/%D0%BC%D1%82%D1%81-%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C/id6444015366?l=ru"" target=""_blank"" rel=""noopener noreferrer"">App Store</a></li></ul>",3,"Войдите в магазин приложений своего телефона и в поиске введите МТС Умный дом.

Или перейдите по ссылкам:

  * Google Play
  * App Store

"
Как настроить сценарий для работы умных устройств,"<p>Настройка доступна, если в вашем Умном доме более одного устройства из списка:</p><ul><li>умная домашняя камера</li><li>умный датчик протечки</li><li>умный датчик открытия дверей и окон</li><li>умный датчик движения</li><li>умный датчик дыма&nbsp;</li><li>умный датчик газа</li><li>умная лампа</li><li>умная розетка</li></ul><p>1. На главном экране нажмите и удерживайте сценарий, который хотите настроить. Например, Я дома</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/300;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_14T172155867_673adab772fda241fbd65859.png"" width=""500"" height=""300""></figure></section><p>2. Нажмите Настроить</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/300;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_14T172057944_673adaba72fda241fbd65861.png"" width=""500"" height=""300""></figure></section><p>3. Выберите устройство, работу которого хотите настроить по сценарию</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_53_673adab872fda241fbd6585d.png"" width=""500"" height=""851""></figure></section><p>4. Выберите настройки и смахните экран вниз</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_54_673adab872fda241fbd6585b.png"" width=""500"" height=""851""></figure></section><p>5. Включите напоминание при уходе из дома и нажмите Сохранить. Вы можете не включать его, если не хотите</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_68_673adabb72fda241fbd65863.png"" width=""500"" height=""851""></figure></section><p>Готово! Чтобы активировать сценарий, выберите нужный на главном экране</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/300;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_14T172155867_673adaba72fda241fbd6585f.png"" width=""500"" height=""300""></figure></section><p>Вы также можете настроить сценарий в разделе Профиль &gt; Дома &gt; Мой дом &gt; Сценарии</p>",3,"Настройка доступна, если в вашем Умном доме более одного устройства из списка:

  * умная домашняя камера
  * умный датчик протечки
  * умный датчик открытия дверей и окон
  * умный датчик движения
  * умный датчик дыма 
  * умный датчик газа
  * умная лампа
  * умная розетка

1\. На главном экране нажмите и удерживайте сценарий, который хотите
настроить. Например, Я дома



2\. Нажмите Настроить



3\. Выберите устройство, работу которого хотите настроить по сценарию



4\. Выберите настройки и смахните экран вниз



5\. Включите напоминание при уходе из дома и нажмите Сохранить. Вы можете не
включать его, если не хотите



Готово! Чтобы активировать сценарий, выберите нужный на главном экране



Вы также можете настроить сценарий в разделе Профиль > Дома > Мой дом >
Сценарии

"
Как войти в аккаунт приложения МТС Умный дом,"<p>1. Откройте приложение и нажмите Начать</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_12_12T141639247_67e25b8b3e76066a7d72a12d.png"" width=""500"" height=""851""></figure></section><p>2. Введите номер телефона и нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/500;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2025_03_25T102838125_67e25b863e76066a7d72a129.png"" width=""500"" height=""500""></figure></section><p>3. Введите код из СМС или пароль</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/450;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2025_03_25T102714448_67e25b8a3e76066a7d72a12b.png"" width=""500"" height=""450""></figure></section>",3,"1\. Откройте приложение и нажмите Начать



2\. Введите номер телефона и нажмите Далее



3\. Введите код из СМС или пароль



"
Как удалить устройство в приложении МТС Умный дом,"<p>1. В разделе Устройства выберите нужное</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_86_673b1eec54c9122bffde3c69.png"" width=""500"" height=""851""></figure></section><p>2. Нажмите на шестерёнку в правом верхнем углу, чтобы открыть настройки устройства</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/400;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T170808920_673b1eee54c9122bffde3c6d.png"" width=""500"" height=""400""></figure></section><p>3. Нажмите Удалить</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/400;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T170803239_673b1eed54c9122bffde3c6b.png"" width=""500"" height=""400""></figure></section>",3,"1\. В разделе Устройства выберите нужное



2\. Нажмите на шестерёнку в правом верхнем углу, чтобы открыть настройки
устройства



3\. Нажмите Удалить



"
Как удалить аккаунт в приложении МТС Умный дом,"<p>Позвоните в техническую поддержку по телефону <a href=""tel:88005559999"" target=""_blank"" rel=""noopener noreferrer"">8 800 555-99-99</a></p><p>Оператор попросит назвать номер договора обслуживания и телефон, который указан в договоре. После их подтверждения аккаунт в приложении МТС Умный дом и все связанные с ним данные будут удалены.</p><h3 class=""ck-heading_heading3_medium"">Что удаляется вместе с аккаунтом:</h3><ul><li>вся информация о пользователе: имя, электронный адрес, номер телефона, идентификаторы пользователя и т.д.</li><li>информация о домах, комнатах, подключенных устройствах</li><li>сообщения в приложении</li><li>фотографии и видеозаписи</li><li>аудиозаписи, в том числе голосовые сообщения</li><li>история действий в приложении</li><li>информация о местоположении, если вы разрешали к ней доступ</li><li>сведения о приложении и данные о его работе</li></ul>",3,"Позвоните в техническую поддержку по телефону 8 800
555-99-99

Оператор попросит назвать номер договора обслуживания и телефон, который
указан в договоре. После их подтверждения аккаунт в приложении МТС Умный дом и
все связанные с ним данные будут удалены.

### Что удаляется вместе с аккаунтом:

  * вся информация о пользователе: имя, электронный адрес, номер телефона, идентификаторы пользователя и т.д.
  * информация о домах, комнатах, подключенных устройствах
  * сообщения в приложении
  * фотографии и видеозаписи
  * аудиозаписи, в том числе голосовые сообщения
  * история действий в приложении
  * информация о местоположении, если вы разрешали к ней доступ
  * сведения о приложении и данные о его работе

"
Как добавить умный кондиционер,"<p>1. На главной странице приложения нажмите плюс в правом верхнем углу, далее – Устройства МТС</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/520;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T104035987_679b4931e161900a97b6a4a3.png"" width=""500"" height=""520""></figure></section><p>2. Выберите Кондиционер</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/450;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T165004026_679b4932e161900a97b6a4a5.png"" width=""500"" height=""450""></figure></section><p>3. Включите кондиционер и нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_85_679b4932e161900a97b6a4a7.png"" width=""500"" height=""851""></figure></section><p>4. Разрешите поиск в локальной сети</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_83_679b4937e161900a97b6a4b5.png"" width=""500"" height=""851""></figure></section><p>5. Разрешите использовать геопозицию</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_84_679b4933e161900a97b6a4ab.png"" width=""500"" height=""851""></figure></section><p>6. Подключитесь к Wi-Fi на телефоне</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_82_679b4933e161900a97b6a4ad.png"" width=""500"" height=""851""></figure></section><p>7. Разрешите использование Bluetooth</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_81_679b4930e161900a97b6a4a1.png"" width=""500"" height=""851""></figure></section><p>8. Дождитесь, когда приложение найдёт кондиционер</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/FULL_80_679b4935e161900a97b6a4b3.png"" width=""500"" height=""851""></figure></section><p>9. Подключите телефон и кондиционер к сети Wi-Fi с частотой <strong>2,4 ГГц</strong></p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:465/422;"" src=""https://s3.cms.mts.ru/cms-files/Frame_9_3_679b4934e161900a97b6a4af.png"" width=""465"" height=""422""></figure></section><p>10. Выберите комнату и нажмите Далее</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/400;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_18T135719091_679b4932e161900a97b6a4a9.png"" width=""500"" height=""400""></figure></section><p>11. Назовите кондиционер и нажмите Сохранить</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:465/429;"" src=""https://s3.cms.mts.ru/cms-files/Frame_7_8_679b4934e161900a97b6a4b1.png"" width=""465"" height=""429""></figure></section><p>Кондиционер готов к работе.</p><p>Что делать, если не получается добавить умное устройство, рассказываем <a href=""https://l.mts.ru/0izmenitchastotu"">в статье</a></p>",3,"1\. На главной странице приложения нажмите плюс в правом верхнем углу, далее –
Устройства МТС



2\. Выберите Кондиционер



3\. Включите кондиционер и нажмите Далее



4\. Разрешите поиск в локальной сети



5\. Разрешите использовать геопозицию



6\. Подключитесь к Wi-Fi на телефоне



7\. Разрешите использование Bluetooth



8\. Дождитесь, когда приложение найдёт кондиционер



9\. Подключите телефон и кондиционер к сети Wi-Fi с частотой **2,4 ГГц**



10\. Выберите комнату и нажмите Далее



11\. Назовите кондиционер и нажмите Сохранить



Кондиционер готов к работе.

Что делать, если не получается добавить умное устройство, рассказываем в
статье

"
Допустимые температурные значения ,<ul><li>Максимальная безопасная минусовая температура снаружи: -7°С</li><li>Максимальная безопасная плюсовая температура снаружи: +43°С</li><li>Максимальная температура нагрева помещения: +24°С</li><li>Максимальная температура охлаждения помещения: +18°С</li></ul>,3,"  * Максимальная безопасная минусовая температура снаружи: -7°С
  * Максимальная безопасная плюсовая температура снаружи: +43°С
  * Максимальная температура нагрева помещения: +24°С
  * Максимальная температура охлаждения помещения: +18°С

"
